time	cpu_load	system_cpu_load	java_cpu_load	memory_load
2022-12-12T00:31:05.435904200	0.04632397605443265	0.2837289160706409	0.16326843487076664	0.24263674
2022-12-12T00:31:06.473934600	0.013218868986438884	0.25407028816361743	0.05202839372514952	0.24254578
2022-12-12T00:31:07.514910	0.0037525039107695157	0.26686707897678463	0.01406132193284116	0.24331042
2022-12-12T00:31:08.562904700	0.003738054374396828	0.22075032370357428	0.016933403818770044	0.24312302
2022-12-12T00:31:09.591903100	0.002523413400392661	0.22148685216406627	0.011393061826186612	0.24249443
2022-12-12T00:31:10.622914200	0.0025283215705296054	0.24964719194721086	0.01012757864732655	0.24279632
2022-12-12T00:31:11.676903400	0.0037096334896357225	0.2139394516690215	0.017339641943996245	0.24296218
2022-12-12T00:31:12.710903500	0.0025161020871747168	0.24322736569618386	0.010344650487715221	0.24319418
2022-12-12T00:31:13.747934900	0.0037703983982720207	0.24572002138816706	0.015344286464617688	0.24308695
2022-12-12T00:31:14.813904600	0.004886007796411109	0.20595483679719037	0.023723685602113347	0.24301629
2022-12-12T00:31:15.850902500	0.0025112523391210588	0.26099306960898394	0.009621911964495383	0.24326357
2022-12-12T00:31:16.895903500	0.0037344635560811984	0.24715228394988442	0.01510996983883201	0.2432989
2022-12-12T00:31:17.933901900	0.003763240827374447	0.24065932658164824	0.015637211658604454	0.24268809
2022-12-12T00:31:18.978879900	0.0024920896687834993	0.24231615922125438	0.010284455138247791	0.2428785
2022-12-12T00:31:20.019884200	0.0037487579315320613	0.2254940866118148	0.01662463964292554	0.24317814
2022-12-12T00:31:21.050880700	0.0025258896005350456	0.23398547524925697	0.010795070069389132	0.24336153
2022-12-12T00:31:22.081911700	0.0025282398321475282	0.2288869584195281	0.011045801165803008	0.24489129
2022-12-12T00:31:23.122911600	0.003756086542926312	0.2328809559846814	0.016128783596943766	0.24512103
2022-12-12T00:31:24.167877900	0.003738081560561611	0.24253829542164554	0.015412335417229962	0.24523301
2022-12-12T00:31:25.198911400	0.0012628912707920803	0.23120977569845724	0.005462101535183951	0.24546728
2022-12-12T00:31:26.236878100	0.0037597429678489394	0.2404296440644379	0.015637601521554828	0.24510124
2022-12-12T00:31:27.300878200	0.004899655986137846	0.20770468430495304	0.023589530503530423	0.24529716
2022-12-12T00:31:28.340911400	0.0037595066795786778	0.30614260349668676	0.0122802466453166	0.24509323
2022-12-12T00:31:29.377001300	0.002511033198639102	0.2300866807269505	0.010913422674904883	0.2454139
2022-12-12T00:31:30.410005	0.016370450368759656	0.24662015721410013	0.06637920660535408	0.245574
2022-12-12T00:31:31.441997700	0.04285679481675201	0.2235414623068046	0.19171743073744513	0.24546853
2022-12-12T00:31:32.470002900	0.037998426269337124	0.11594775017589709	0.3277202551295052	0.24573785
2022-12-12T00:31:33.502520300	0.03913124476095747	0.14673170894859	0.26668567442820273	0.2456429
2022-12-12T00:31:34.532532300	0.05430568355868241	0.14080333136827872	0.38568464986558426	0.24571054
2022-12-12T00:31:35.563520300	0.04171755702956916	0.13360093962243036	0.31225496727393653	0.24570854
2022-12-12T00:31:36.593519200	0.042981341510411185	0.1466933268478996	0.2930013411924102	0.2457436
2022-12-12T00:31:37.624518600	0.03532788003294706	0.13152234793214868	0.26860743127223086	0.24584708
2022-12-12T00:31:38.656521600	0.037851252354408456	0.12478794863473353	0.303324581969071	0.24573033
time	cpu_load	system_cpu_load	memory_load	 Average
2022-12-12T00:31:39.684521300	0.21776125148386433	0.014560570991889019	0.24426110766150735
time	cpu_load	system_cpu_load	memory_load	 Highest
2022-12-12T00:31:39.684521300	0.30614260349668676	0.037851252354408456	0.2837289160706409
time	cpu_load	system_cpu_load	memory_load	 Lowest
2022-12-12T00:31:39.684521300	0.11594775017589709	0.04632397605443265	0.24249443411827087
