time	cpu_load	system_cpu_load	java_cpu_load	memory_load
2022-12-18T02:20:56.782172500	0.04925437424915116	0.3274474933277125	0.15041915193364125	0.3643388
2022-12-18T02:20:57.821167400	0.012501689151304653	0.2965867158671587	0.04215188503892455	0.36386552
2022-12-18T02:20:58.863196500	0.002503927199482504	0.30807139364388225	0.008127749772109448	0.36403915
2022-12-18T02:20:59.890176100	0.0025308379158101905	0.30312738970818676	0.008349090190254881	0.3643235
2022-12-18T02:21:00.936173400	0.0037416123228906305	0.30992739332400787	0.012072544742694077	0.36431423
2022-12-18T02:21:01.980697300	0.0037361716218145937	0.3493625088353335	0.010694254613266415	0.36396775
2022-12-18T02:21:03.024224700	0.002493154475947067	0.34307219918244813	0.007267142257193479	0.36400408
2022-12-18T02:21:04.053230300	0.0025332252144705477	0.3187039304569792	0.007948522036857966	0.36433327
2022-12-18T02:21:05.092245900	0.0025063802415428715	0.3476231752516252	0.00721004932921587	0.36447608
2022-12-18T02:21:06.128217300	0.0025113177254575065	0.39217940758921055	0.0064034920673040376	0.3634742
2022-12-18T02:21:07.168223100	0.0012520004362810864	0.31688008307607163	0.003951022810040496	0.36325648
2022-12-18T02:21:08.203229400	0.0025161079216256136	0.32326443856526	0.007783435545192722	0.36377886
2022-12-18T02:21:09.241216	0.0025136763297371914	0.3307161010365999	0.007600707440182982	0.36152378
2022-12-18T02:21:10.281222300	0.0025015832420275464	0.3602278225511787	0.006944447611822484	0.3604347
2022-12-18T02:21:11.324218900	0.0024992158460361478	0.39344766562717426	0.006352092195164709	0.36160696
2022-12-18T02:21:12.355245300	0.0012604530887191183	0.29746291569482786	0.004237345303278873	0.36198953
2022-12-18T02:21:13.391240900	0.0025161120543780364	0.33341457491291515	0.007546496895149896	0.36235756
2022-12-18T02:21:14.451273900	0.003685033739579314	0.4561918757799489	0.00807781535626655	0.36097285
2022-12-18T02:21:15.486850200	0.002514683903187261	0.5988141540743841	0.004199439652648707	0.35778055
2022-12-18T02:21:16.524849500	0.002508860089583566	0.6462564186848094	0.0038821433985743994	0.35717276
2022-12-18T02:21:17.560845900	0.002511238535774196	0.4235233810709659	0.005929397638978074	0.3575215
2022-12-18T02:21:18.599842300	0.0025064393434460343	0.3998075398143691	0.006269114746084517	0.35817614
2022-12-18T02:21:19.643842500	0.0037416083805897477	0.38784795483103307	0.009647100968264197	0.35745287
2022-12-18T02:21:20.681848800	0.0012544072041653417	0.34895670684105573	0.0035947359072731745	0.35792187
2022-12-18T02:21:21.727869100	0.0024919895096890627	0.36338214666636637	0.006857765392577319	0.35850585
2022-12-18T02:21:22.755938400	0.0025305946873221494	0.407388158126918	0.00621175318143088	0.35893202
2022-12-18T02:21:23.795521300	0.0025050052811122535	0.38588555618140197	0.00649157565237987	0.35851336
2022-12-18T02:21:24.840624500	0.0024965810022217253	0.40231810718803585	0.006205490027956586	0.3571259
2022-12-18T02:21:25.870647600	0.041635272157450054	0.3302284404743854	0.1260802131325801	0.35468996
2022-12-18T02:21:26.918623400	0.05472086405700916	0.3119741707716621	0.175401905618206	0.35178754
2022-12-18T02:21:27.946621300	0.04681942306711767	0.32447494561486423	0.14429287592111972	0.35116744
2022-12-18T02:21:28.986617300	0.05008040749970849	0.2205097001761971	0.22711203842593777	0.3539133
2022-12-18T02:21:30.015616200	0.053197972723143784	0.2755087618405979	0.19308994881956867	0.35361743
2022-12-18T02:21:31.054620200	0.05263450178478482	0.27131241412003626	0.19399960726271018	0.3557437
2022-12-18T02:21:32.085738300	0.05051443088179122	0.23179503305745697	0.2179271497559216	0.3556773
2022-12-18T02:21:33.124203800	0.05135564143033812	0.28221806016566175	0.1819714918322109	0.35774624
2022-12-18T02:21:34.170731900	0.05106088518680302	0.4360405588906817	0.11710122864878797	0.3570658
time	cpu_load	system_cpu_load	memory_load	 Average
2022-12-18T02:21:34.459732300	0.3555661971086866	0.015679396743283606	0.3596640221170477
time	cpu_load	system_cpu_load	memory_load	 Highest
2022-12-18T02:21:34.459732300	0.6462564186848094	0.05106088518680302	0.3644760847091675
time	cpu_load	system_cpu_load	memory_load	 Lowest
2022-12-18T02:21:34.459732300	0.2205097001761971	0.04925437424915116	0.3274474933277125
startTime	endTime	duration2022-12-18T02:20:56.756186100	2022-12-18T02:21:34.458730600	00:00:37
