avg	high	low
OwnDB
DATA_VALUE_1_DAY & 0.336879 & 0.087976 & 0.367543 & 0.052165 & 0.167343 & 0.062109 \\
\hline
DATA_VALUE_1_MONTH & 0.336233 & 0.088716 & 0.377689 & 0.053772 & 0.15305 & 0.053437 \\
\hline
DATA_VALUE_1_WEEK & 0.337274 & 0.087559 & 0.374921 & 0.067155 & 0.157866 & 0.068083 \\
\hline
DATA_VALUE_1_YEAR & 0.333618 & 0.086956 & 0.372705 & 0.04948 & 0.151032 & 0.048038 \\
\hline
SENSORIDS_1_DAY & 0.336049 & 0.087719 & 0.366193 & 0.053418 & 0.149713 & 0.040153 \\
\hline
SENSORIDS_1_MONTH & 0.336638 & 0.085556 & 0.381019 & 0.073378 & 0.209093 & 0.088414 \\
\hline
SENSORIDS_1_WEEK & 0.335919 & 0.08782 & 0.365578 & 0.053611 & 0.152497 & 0.048201 \\
\hline
SENSORIDS_1_YEAR & 0.336514 & 0.085554 & 0.373561 & 0.058277 & 0.152285 & 0.057148 \\
\hline
VALUES_OF_SENSOR_1_DAY & 0.336992 & 0.085772 & 0.353523 & 0.05598 & 0.121249 & 0.03655 \\
\hline
VALUES_OF_SENSOR_1_MONTH & 0.337207 & 0.085577 & 0.377431 & 0.040027 & 0.213598 & 0.049443 \\
\hline
VALUES_OF_SENSOR_1_WEEK & 0.33712 & 0.085628 & 0.358279 & 0.06013 & 0.131113 & 0.040186 \\
\hline
VALUES_OF_SENSOR_1_YEAR & 0.335567 & 0.086256 & 0.380512 & 0.034635 & 0.235795 & 0.057378 \\
\hline
TimescaleDB
DATA_VALUE_1_DAY & 0.204807 & 0.023994 & 0.636 & 0.092721 & 0.203201 & 0.031194 \\
\hline
DATA_VALUE_1_MONTH & 0.207217 & 0.024021 & 0.284023 & 0.090464 & 0.192654 & 0.028279 \\
\hline
DATA_VALUE_1_WEEK & 0.204095 & 0.024239 & 0.599791 & 0.105051 & 0.202571 & 0.031225 \\
\hline
DATA_VALUE_1_YEAR & 0.209116 & 0.026835 & 0.280834 & 0.064002 & 0.19917 & 0.030755 \\
\hline
SENSORIDS_1_DAY & 0.208151 & 0.025271 & 0.421292 & 0.091282 & 0.208151 & 0.025271 \\
\hline
SENSORIDS_1_MONTH & 0.205885 & 0.02521 & 0.419853 & 0.083294 & 0.205885 & 0.02521 \\
\hline
SENSORIDS_1_WEEK & 0.207801 & 0.024943 & 0.416878 & 0.08258 & 0.207801 & 0.024943 \\
\hline
SENSORIDS_1_YEAR & 0.204634 & 0.024831 & 0.44625 & 0.121903 & 0.203558 & 0.025107 \\
\hline
VALUES_OF_SENSOR_1_DAY & 0.203555 & 0.031497 & 0.653737 & 0.101325 & 0.203555 & 0.031497 \\
\hline
VALUES_OF_SENSOR_1_MONTH & 0.205265 & 0.024141 & 0.651463 & 0.071143 & 0.205265 & 0.024141 \\
\hline
VALUES_OF_SENSOR_1_WEEK & 0.203458 & 0.031582 & 0.650934 & 0.098594 & 0.203458 & 0.031582 \\
\hline
VALUES_OF_SENSOR_1_YEAR & 0.205324 & 0.023946 & 0.648953 & 0.071833 & 0.205324 & 0.023946 \\
\hline
InfluxDB
DATA_VALUE_1_DAY & 0.218725 & 0.008196 & 0.279264 & 0.066029 & 0.187464 & 0.036753 \\
\hline
DATA_VALUE_1_MONTH & 0.218923 & 0.008281 & 0.261235 & 0.035168 & 0.195757 & 0.033025 \\
\hline
DATA_VALUE_1_WEEK & 0.218838 & 0.008119 & 0.2751 & 0.055516 & 0.186003 & 0.036876 \\
\hline
SENSORIDS_1_DAY & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 \\
\hline
SENSORIDS_1_MONTH & 0.002316 & 0.023046 & 0.003851 & 0.038312 & 0.002316 & 0.023046 \\
\hline
SENSORIDS_1_WEEK & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 & 0.0 \\
\hline
VALUES_OF_SENSOR_1_DAY & 0.079267 & 0.105795 & 0.147137 & 0.198572 & 0.079267 & 0.105795 \\
\hline
VALUES_OF_SENSOR_1_MONTH & 0.218796 & 0.00822 & 0.392154 & 0.063493 & 0.217702 & 0.01087 \\
\hline
VALUES_OF_SENSOR_1_WEEK & 0.218857 & 0.008264 & 0.399097 & 0.048259 & 0.217855 & 0.010909 \\
\hline
