avg	high	low
OwnDB
Name:	DATA_VALUE_1_DAY
0.200286	0.20401	0.196561
0.093263	0.102164	0.094095
0.336879	0.367543	0.167343
0.087976	0.052165	0.062109
Name:	DATA_VALUE_1_MONTH
0.204635	0.312628	0.153403
0.092118	0.14214	0.064879
0.336233	0.377689	0.15305
0.088716	0.053772	0.053437
Name:	DATA_VALUE_1_WEEK
0.216866	0.284151	0.164405
0.104707	0.12752	0.082255
0.337274	0.374921	0.157866
0.087559	0.067155	0.068083
Name:	DATA_VALUE_1_YEAR
0.246088	0.659039	0.133126
0.067323	0.094324	0.037979
0.333618	0.372705	0.151032
0.086956	0.04948	0.048038
Name:	SENSORIDS_1_DAY
0.179857	0.179857	0.179857
0.089469	0.089469	0.089469
0.336049	0.366193	0.149713
0.087719	0.053418	0.040153
Name:	SENSORIDS_1_MONTH
0.262012	0.318142	0.206822
0.082664	0.1018	0.080094
0.336638	0.381019	0.209093
0.085556	0.073378	0.088414
Name:	SENSORIDS_1_WEEK
0.182156	0.182156	0.182156
0.091463	0.091463	0.091463
0.335919	0.365578	0.152497
0.08782	0.053611	0.048201
Name:	SENSORIDS_1_YEAR
0.16228	0.274246	0.115044
0.085401	0.149398	0.052913
0.336514	0.373561	0.152285
0.085554	0.058277	0.057148
Name:	VALUES_OF_SENSOR_1_DAY
0.13778	0.13778	0.13778
0.065161	0.065161	0.065161
0.336992	0.353523	0.121249
0.085772	0.05598	0.03655
Name:	VALUES_OF_SENSOR_1_MONTH
0.262818	0.305984	0.226897
0.08287	0.097542	0.069928
0.337207	0.377431	0.213598
0.085577	0.040027	0.049443
Name:	VALUES_OF_SENSOR_1_WEEK
0.166061	0.181194	0.150929
0.089873	0.111871	0.073856
0.33712	0.358279	0.131113
0.085628	0.06013	0.040186
Name:	VALUES_OF_SENSOR_1_YEAR
0.292355	0.593065	0.164558
0.065255	0.087814	0.053471
0.335567	0.380512	0.235795
0.086256	0.034635	0.057378
TimescaleDB
Name:	DATA_VALUE_1_DAY
0.634394	0.634394	0.634394
0.101878	0.101878	0.101878
0.204807	0.636	0.203201
0.023994	0.092721	0.031194
Name:	DATA_VALUE_1_MONTH
0.269425	0.285835	0.253014
0.086714	0.101386	0.075773
0.207217	0.284023	0.192654
0.024021	0.090464	0.028279
Name:	DATA_VALUE_1_WEEK
0.598267	0.598267	0.598267
0.112379	0.112379	0.112379
0.204095	0.599791	0.202571
0.024239	0.105051	0.031225
Name:	DATA_VALUE_1_YEAR
0.308871	0.47305	0.163684
0.061115	0.079442	0.050206
0.209116	0.280834	0.19917
0.026835	0.064002	0.030755
Name:	SENSORIDS_1_DAY
0.421292	0.421292	0.421292
0.091282	0.091282	0.091282
0.208151	0.421292	0.208151
0.025271	0.091282	0.025271
Name:	SENSORIDS_1_MONTH
0.419853	0.419853	0.419853
0.083294	0.083294	0.083294
0.205885	0.419853	0.205885
0.02521	0.083294	0.02521
Name:	SENSORIDS_1_WEEK
0.416878	0.416878	0.416878
0.08258	0.08258	0.08258
0.207801	0.416878	0.207801
0.024943	0.08258	0.024943
Name:	SENSORIDS_1_YEAR
0.550462	0.647247	0.445859
0.101343	0.101771	0.121906
0.204634	0.44625	0.203558
0.024831	0.121903	0.025107
Name:	VALUES_OF_SENSOR_1_DAY
0.653737	0.653737	0.653737
0.101325	0.101325	0.101325
0.203555	0.653737	0.203555
0.031497	0.101325	0.031497
Name:	VALUES_OF_SENSOR_1_MONTH
0.651463	0.651463	0.651463
0.071143	0.071143	0.071143
0.205265	0.651463	0.205265
0.024141	0.071143	0.024141
Name:	VALUES_OF_SENSOR_1_WEEK
0.650934	0.650934	0.650934
0.098594	0.098594	0.098594
0.203458	0.650934	0.203458
0.031582	0.098594	0.031582
Name:	VALUES_OF_SENSOR_1_YEAR
0.648953	0.648953	0.648953
0.071833	0.071833	0.071833
0.205324	0.648953	0.205324
0.023946	0.071833	0.023946
InfluxDB
Name:	DATA_VALUE_1_DAY
0.246128	0.248012	0.244244
0.091158	0.097096	0.088855
0.218725	0.279264	0.187464
0.008196	0.066029	0.036753
Name:	DATA_VALUE_1_MONTH
0.345322	0.455982	0.192462
0.039	0.036515	0.051012
0.218923	0.261235	0.195757
0.008281	0.035168	0.033025
Name:	DATA_VALUE_1_WEEK
0.235639	0.297402	0.171313
0.038189	0.043769	0.03797
0.218838	0.2751	0.186003
0.008119	0.055516	0.036876
Name:	SENSORIDS_1_DAY
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
Name:	SENSORIDS_1_MONTH
0.003851	0.003851	0.003851
0.038312	0.038312	0.038312
0.002316	0.003851	0.002316
0.023046	0.038312	0.023046
Name:	SENSORIDS_1_WEEK
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
Name:	VALUES_OF_SENSOR_1_DAY
0.147137	0.147137	0.147137
0.198572	0.198572	0.198572
0.079267	0.147137	0.079267
0.105795	0.198572	0.105795
Name:	VALUES_OF_SENSOR_1_MONTH
0.356651	0.399476	0.313825
0.045511	0.052924	0.052386
0.218796	0.392154	0.217702
0.00822	0.063493	0.01087
Name:	VALUES_OF_SENSOR_1_WEEK
0.398094	0.398094	0.398094
0.052355	0.052355	0.052355
0.218857	0.399097	0.217855
0.008264	0.048259	0.010909
