avg	high	low
OwnDB
Name:	DATA_VALUE_1_DAY
DurationMittel:	0.05077525000000002	 DurationStandardAbweichung	0.023205156149172967
0.99	0.99	0.99
0.099498743710662	0.099498743710662	0.099498743710662
0.0	0.99	0.0
0.0	0.099498743710662	0.0
InfluxDB
Name:	DATA_VALUE_1_DAY
DurationMittel:	0.32109923	 DurationStandardAbweichung	0.11142993180019944
0.0	0.01	0.0
0.0	0.099498743710662	0.0
0.0	0.01	0.0
0.0	0.099498743710662	0.0
Name:	DATA_VALUE_1_MONTH
DurationMittel:	11.641820580000001	 DurationStandardAbweichung	0.7513346423773788
0.0	0.08	0.0
0.0	0.2712931993250107	0.0
0.0	0.0	0.0
0.0	0.0	0.0
Name:	DATA_VALUE_1_WEEK
DurationMittel:	2.2547744200000004	 DurationStandardAbweichung	0.1222592527244609
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
Name:	SENSORIDS_1_DAY
DurationMittel:	0.012403149999999998	 DurationStandardAbweichung	0.0028249239118071836
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
Name:	SENSORIDS_1_MONTH
DurationMittel:	0.06526996000000002	 DurationStandardAbweichung	0.011619420707522385
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
Name:	SENSORIDS_1_WEEK
DurationMittel:	0.02088363	 DurationStandardAbweichung	0.005302361891940232
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
Name:	VALUES_OF_SENSOR_1_DAY
DurationMittel:	0.07622526	 DurationStandardAbweichung	0.01543552329117481
0.02	0.02	0.02
0.14	0.14	0.14
0.0	0.02	0.0
0.0	0.14	0.0
Name:	VALUES_OF_SENSOR_1_MONTH
DurationMittel:	1.73565084	 DurationStandardAbweichung	0.12105086911854207
0.0	0.04	0.0
0.0	0.19595917942265426	0.0
0.0	0.04	0.0
0.0	0.19595917942265426	0.0
Name:	VALUES_OF_SENSOR_1_WEEK
DurationMittel:	0.3728135999999999	 DurationStandardAbweichung	0.058636612947884366
0.03	0.03	0.03
0.1705872210923198	0.1705872210923198	0.1705872210923198
0.0	0.03	0.0
0.0	0.1705872210923198	0.0
